Job ID,Company Name,Location,Post Date,No. Applicants,No. Employees,Salary,Original Salary,URL
1,PagerDuty,United States,18 hours ago,100+,"1,001-5,000",35.0,$35/hr - $70/hr,https://www.linkedin.com/jobs/view/data-analyst-at-pagerduty-3947428870
2,The Walt Disney Company,New York,14 hours ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/analyst-data-outcomes-attribution-at-the-walt-disney-company-3946480160
3,Insight Global,United States,23 hours ago,100+,"1,001-5,000",35.0,$35/hr - $53/hr,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3943093283
6,Zealthy,New York,2 weeks ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-ny-ny-at-zealthy-3927471156
8,Vanguard,North Carolina,2 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-vanguard-3944906180
12,hackajob,California,4 hours ago,100+,51-200,80000.0,$80K/yr - $110K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-hackajob-3947905604
16,Apt,Alabama,1 day ago,100+,11-50,85000.0,$85K/yr - $100K/yr + Bonus,https://www.linkedin.com/jobs/view/business-data-analyst-at-apt-3947128249
18,GradBay,United States,20 hours ago,100+,11-50,50000.0,$50K/yr - $85K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-gradbay-3945997799
22,WinMax,California,4 days ago,100+,51-200,38.0,$38/hr - $43/hr,https://www.linkedin.com/jobs/view/data-analyst-i-at-winmax-3943864228
24,Gatesman,Pennsylvania,5 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/jr-data-analyst-at-gatesman-3947992063
28,Starbucks,Washington,5 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-logistics-services-remote-u-s-at-starbucks-3939827824
30,Team Remotely Inc,Washington,5 hours ago,45 applicants,11-50,62000.0,$62K/yr - $72K/yr,https://www.linkedin.com/jobs/view/junior-data-analyst-at-team-remotely-inc-3947698125
33,Cisco Meraki,United States, 3 weeks ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-cisco-meraki-3929105590
35,Genpact,Ohio,6 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/master-data-analyst-at-genpact-3942866128
36,DBI Consultants,New York,6 days ago,100+,51-200,70000.0,$70K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-dbi-consultants-3941979027
39,"W&P Management, LLC",Michigan,1 day ago,100+,"501-1,000",65000.0,$65K/yr - $85K/yr,https://www.linkedin.com/jobs/view/bi-data-analyst-at-w-p-management-llc-3943042251
40,PCS Global Tech,California,6 days ago,100+,"501-1,000",60.0,$60/yr - $70/yr,https://www.linkedin.com/jobs/view/data-analyst-at-pcs-global-tech-3943102910
42,Steneral Consulting,United States,4 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-steneral-consulting-3943854954
43,CompanyCam,Nebraska,3 hours ago,50 applicants,201-500,80000.0,$80K/yr - $100K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-companycam-3946902188
46,Riskified,United States,20 hours ago,100+,"501-1,000",100000.0,$100K/yr - $120K/yr,https://www.linkedin.com/jobs/view/data-analyst-go-live-at-riskified-3947192962
47,Optomi,Indiana,5 days ago,100+,"501-1,000",45.0,$45/hr - $50/hr,https://www.linkedin.com/jobs/view/data-analyst-at-optomi-3940392536
48,EVONA,California,5 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-evona-3943459247
54,Syntricate Technologies,United States,3 months ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3827900016
58,Eventbrite,United States,1 week ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/sql-data-analyst-customer-success-at-eventbrite-3942315361
59,"Pyramid Consulting, Inc",Virginia,4 days ago,100+,"5,001-10,000",40.0,$40/hr,https://www.linkedin.com/jobs/view/data-analyst-junior-mid-level-at-pyramid-consulting-inc-3945423522
63,StyleAI,California,5 days ago,100+,11-50,120000.0,Starting at $120K/yr + Stock options,https://www.linkedin.com/jobs/view/data-analyst-at-styleai-3943780771
65,Gatesman,Illinois,5 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/jr-data-analyst-at-gatesman-3947992071
69,Omega Consulting,Massachusetts,21 hours ago,100+,51-200,150000.0,Up to $150K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-omega-consulting-3947175641
71,Abacus Solutions Group,North Carolina,4 days ago,100+,11-50,25.0,$25/hr - $35/hr,https://www.linkedin.com/jobs/view/excel-data-analyst-at-abacus-solutions-group-3945466751
72,Arrow Search Partners,New York,13 hours ago,100+,51-200,120000.0,$120K/yr - $160K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-arrow-search-partners-3947662074
77,Harvey,California,6 days ago,100+,51-200,155000.0,$155K/yr - $220K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-harvey-3942706317
79,Think Tank Inc.,United States,3 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-i-and-ii-at-think-tank-inc-3945690174
80,Mindlance,Virginia,1 week ago,100+,"1,001-5,000",44.0,$44/hr - $48/hr,https://www.linkedin.com/jobs/view/data-analyst-at-mindlance-3942137322
84,Syntricate Technologies,California,4 weeks ago,16 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3940820228
85,Open Systems Inc.,Pennsylvania,1 day ago,100+,201-500,,,https://www.linkedin.com/jobs/view/data-analyst-1-at-open-systems-inc-3945774849
87,Synechron,New York,5 days ago,100+,"10,001+",120000.0,$120K/yr - $140K/yr,https://www.linkedin.com/jobs/view/business-data-analyst-at-synechron-3943499633
91,Flexport,Washington,3 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-i-at-flexport-3944157668
97,Chime,Illinois, 3 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-risk-at-chime-3947910784
111,Lyft,California,1 week ago,100+,"5,001-10,000",,,https://www.linkedin.com/jobs/view/data-analyst-lyft-media-at-lyft-3941228528
112,Kforce Inc,Ohio,4 days ago,100+,"1,001-5,000",35.0,$35/hr - $37/hr,https://www.linkedin.com/jobs/view/data-analyst-at-kforce-inc-3941336173
116,Themesoft Inc.,New York, 6 days ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-themesoft-inc-3939722928
119,Swoon,United States,4 hours ago,100+,"501-1,000",44.0,$44/hr,https://www.linkedin.com/jobs/view/data-analyst-80297-at-swoon-3944052407
120,Arrowmac,California,1 hour ago,36 applicants,51-200,80.0,$80/hr - $100/hr,https://www.linkedin.com/jobs/view/senior-data-analyst-at-arrowmac-3944092509
121,Vaco,Texas,5 hours ago,100+,"10,001+",80000.0,$80K/yr - $110K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-vaco-3944064043
124,Madhive,New York,1 week ago,100+,51-200,125000.0,$125K/yr - $150K/yr,https://www.linkedin.com/jobs/view/sales-data-analyst-at-madhive-3941731265
125,Syntricate Technologies,United States,1 month ago,26 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-4-at-syntricate-technologies-3944220571
126,Engtal,United States,10 minutes ago,54 applicants,11-50,90000.0,$90K/yr - $145K/yr,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-engtal-3944086180
129,Aditi Consulting,Washington,6 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-i-at-aditi-consulting-3942800149
131,"DataStaff, Inc.",Virginia,5 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-datastaff-inc-3943515356
132,Stackline,Washington,6 days ago,100+,201-500,110000.0,$110K/yr - $125K/yr,https://www.linkedin.com/jobs/view/data-analyst-ii-at-stackline-3939890405
137,Lyft,California,1 week ago,100+,"5,001-10,000",114000.0,$114K/yr - $140K/yr,https://www.linkedin.com/jobs/view/data-analyst-product-insights-scc-at-lyft-3941689341
140,iO Associates - US,Pennsylvania,1 day ago,100+,51-200,75000.0,$75K/yr - $90K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-io-associates-us-3945781429
143,Bernard Nickels & Associates,New York,17 minutes ago,17 applicants,51-200,26.0,$26/hr - $42/hr,https://www.linkedin.com/jobs/view/data-analyst-at-bernard-nickels-associates-3948086553
148,TekIntegral,New York,1 week ago,100+,51-200,,,https://www.linkedin.com/jobs/view/crime-data-analyst-at-tekintegral-3940998061
151,ICONMA,New York,11 hours ago,100+,"1,001-5,000",35.63,$35.63/hr - $42.76/hr,https://www.linkedin.com/jobs/view/data-analys-hr-at-iconma-3943329787
152,Artmac,California,6 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-artmac-3942659582
153,Lockton,California,3 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-lockton-3946155902
155,Simpson Thacher & Bartlett LLP,New York,1 hour ago,72 applicants,"1,001-5,000",80000.0,$80K/yr - $100K/yr,https://www.linkedin.com/jobs/view/junior-data-analyst-at-simpson-thacher-bartlett-llp-3944071146
157,Inizio Evoke,Massachusetts, 2 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-inizio-evoke-3947959365
159,Kaseware,Colorado,2 weeks ago,21 applicants,51-200,85000.0,$85K/yr - $110K/yr,https://www.linkedin.com/jobs/view/business-data-analyst-at-kaseware-3942614809
160,Luxoft,Washington,1 week ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-luxoft-3941402511
163,ICONMA,Washington,6 days ago,100+,"1,001-5,000",36.41,$36.41/hr - $38.01/hr,https://www.linkedin.com/jobs/view/data-analyst-i-at-iconma-3939439983
167,"LanceSoft, Inc.",Minnesota,1 month ago,31 applicants,"5,001-10,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-lancesoft-inc-3938446122
168,Talent Groups,United States,8 hours ago,100+,201-500,,,https://www.linkedin.com/jobs/view/data-analyst-at-talent-groups-3947973173
169,Syntricate Technologies,United States,3 weeks ago,41 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3944222345
170,Dexian,Massachusetts,5 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-dexian-3943388692
174,Brooksource,Greater Houston,2 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3944018070
175,Tata Consultancy Services,Texas,1 week ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3940573633
182,City Barbeque,Ohio,6 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/marketing-data-analyst-at-city-barbeque-3942910740
185,IntePros,Pennsylvania, 1 week ago,100+,201-500,50.0,$50/hr,https://www.linkedin.com/jobs/view/data-analyst-at-intepros-3941792297
193,The Walt Disney Company,California, 3 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3901104765
196,Master Builders Solutions,Ohio,1 hour ago,48 applicants,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-digital-team-at-master-builders-solutions-3946915060
197,CMD,Oregon,6 days ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-cmd-3941973465
202,Universal Energy Solutions,Florida,1 month ago,100 applicants,11-50,35000.0,$35K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-universal-energy-solutions-3929032281
203,Insight Global,Florida,4 days ago,100+,"1,001-5,000",40.0,$40/hr - $43/hr,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3941360720
204,Lyft,New York,1 week ago,100+,"5,001-10,000",77000.0,$77K/yr - $96.2K/yr,https://www.linkedin.com/jobs/view/data-analyst-lyft-media-at-lyft-3941227696
206,AKA,New York,1 day ago,100+,51-200,,,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-aka-3947423875
211,Veritas Partners,Washington,9 hours ago,100+,1-10,100000.0,$100K/yr - $130K/yr,https://www.linkedin.com/jobs/view/data-analyst-banking-at-veritas-partners-3946632976
213,Fora Travel,New York,3 days ago,100+,11-50,85000.0,$85K/yr - $105K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-fora-travel-3945677674
215,"Milestone Technologies, Inc.",New York,3 hours ago,100+,"1,001-5,000",36.0,$36/hr - $42/hr,https://www.linkedin.com/jobs/view/data-analyst-reporting-and-insights-at-milestone-technologies-inc-3944006378
218,Syntricate Technologies,Virginia,4 months ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3822601041
221,Petco,United States, 1 hour ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-retail-media-performance-at-petco-3944062805
224,Syntricate Technologies,Georgia,4 months ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3822196545
225,Alpine Solutions Group,Pennsylvania,1 week ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-alpine-solutions-group-3938813857
229,LTIMindtree,United States,4 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/business-data-analyst-at-ltimindtree-3943590646
230,Darwill,Illinois,26 minutes ago,36 applicants,201-500,,,https://www.linkedin.com/jobs/view/data-analyst-at-darwill-3944087082
238,Clark Schaefer Strategic HR,Ohio,6 days ago,100+,11-50,,,https://www.linkedin.com/jobs/view/data-analyst-at-clark-schaefer-strategic-hr-3942689118
239,Rysun Labs,Florida,3 days ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-rysun-labs-3946131877
240,Stripe,Illinois,5 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-stripe-3943774117
244,Insight Global,Tennessee,5 days ago,100+,"1,001-5,000",26.0,$26/hr - $32/hr,https://www.linkedin.com/jobs/view/data-analyst-at-insight-global-3940365949
245,Veronica Beard,New York,1 day ago,100+,201-500,65000.0,$65K/yr - $75K/yr,https://www.linkedin.com/jobs/view/junior-business-intelligence-analyst-at-veronica-beard-3945788836
247,Realtor.com,Texas, 3 days ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/senior-data-analyst-at-realtor-com-3926110994
248,TSS,Texas,1 week ago,100+,"501-1,000",,,https://www.linkedin.com/jobs/view/data-analyst-at-tss-3938827934
251,Avani Tech Solutions Private Limited,Virginia,9 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-with-power-bi-at-avani-tech-solutions-private-limited-3946619152
253,Syntricate Technologies,United States,1 month ago,51 applicants,51-200,,,https://www.linkedin.com/jobs/view/data-analyst-at-syntricate-technologies-3944222344
260,The Walt Disney Company,California,4 days ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-the-walt-disney-company-3943830415
270,hackajob,Pennsylvania,20 hours ago,100+,51-200,80000.0,$80K/yr - $110K/yr,https://www.linkedin.com/jobs/view/data-analyst-at-hackajob-3943083289
274,Nestlé Nespresso SA,New York,1 week ago,100+,"5,001-10,000",110000.0,$110K/yr - $125K/yr,https://www.linkedin.com/jobs/view/senior-data-analyst-customer-marketplace-analytics-at-nestl%C3%A9-nespresso-sa-3941196079
282,"Simpluris, Inc.",Florida,7 hours ago,100+,51-200,,,https://www.linkedin.com/jobs/view/senior-data-analyst-remote-at-simpluris-inc-3946627091
287,Stripe,California,20 hours ago,100+,"1,001-5,000",,,https://www.linkedin.com/jobs/view/technical-data-analyst-at-stripe-3947479253
288,Tata Consultancy Services,New York,2 weeks ago,100+,"10,001+",,,https://www.linkedin.com/jobs/view/data-analyst-at-tata-consultancy-services-3926676370
292,KellyMitchell Group,Washington,5 days ago,100+,"1,001-5,000",21.0,$21/hr - $30/hr,https://www.linkedin.com/jobs/view/data-analyst-at-kellymitchell-group-3944523294
